blast_id,mine_id,zone_id,scheduled_time,actual_time,delay_hours,blast_status,powder_factor_kg_t,material_type
BLAST-30001,MINE-02,MINE-02-ZONE-E,2026-04-23T10:00:00Z,2026-04-23T10:30:00Z,0.0,COMPLETED,0.71,Waste Rock
BLAST-30002,MINE-01,MINE-01-ZONE-C,2025-12-12T10:00:00Z,2025-12-12T10:30:00Z,0.5,COMPLETED,0.71,Overburden
BLAST-30003,MINE-03,MINE-03-ZONE-D,2026-01-31T10:00:00Z,2026-01-31T10:30:00Z,0.0,COMPLETED,0.55,Manganese Ore
BLAST-30004,MINE-03,MINE-03-ZONE-B,2026-07-07T10:00:00Z,2026-07-07T13:30:00Z,3.0,DELAYED,0.7,Overburden
BLAST-30005,MINE-02,MINE-02-ZONE-A,2025-10-17T10:00:00Z,2025-10-17T11:30:00Z,1.5,COMPLETED,0.68,Overburden
BLAST-30006,MINE-04,MINE-04-ZONE-E,2026-06-08T10:00:00Z,2026-06-08T13:30:00Z,3.0,DELAYED,0.66,Overburden
BLAST-30007,MINE-04,MINE-04-ZONE-D,2026-09-09T10:00:00Z,2026-09-09T14:30:00Z,4.5,DELAYED,0.48,Manganese Ore
BLAST-30008,MINE-02,MINE-02-ZONE-A,2026-04-08T10:00:00Z,2026-04-08T10:30:00Z,0.0,COMPLETED,0.69,Manganese Ore
BLAST-30009,MINE-01,MINE-01-ZONE-A,2026-01-24T10:00:00Z,2026-01-24T10:30:00Z,0.0,COMPLETED,0.38,Overburden
BLAST-30010,MINE-03,MINE-03-ZONE-D,2026-03-29T10:00:00Z,2026-03-29T11:30:00Z,1.5,COMPLETED,0.74,Overburden
BLAST-30011,MINE-04,MINE-04-ZONE-A,2025-11-21T10:00:00Z,2025-11-21T11:30:00Z,1.5,COMPLETED,0.51,Overburden
BLAST-30012,MINE-04,MINE-04-ZONE-B,2026-08-10T10:00:00Z,2026-08-10T10:30:00Z,0.0,COMPLETED,0.43,Overburden
BLAST-30013,MINE-04,MINE-04-ZONE-D,2026-08-06T10:00:00Z,2026-08-06T10:30:00Z,0.5,COMPLETED,0.69,Overburden
BLAST-30014,MINE-02,MINE-02-ZONE-C,2026-06-04T10:00:00Z,2026-06-04T13:30:00Z,3.0,DELAYED,0.62,Overburden
BLAST-30015,MINE-02,MINE-02-ZONE-E,2026-08-19T10:00:00Z,2026-08-19T10:30:00Z,0.0,COMPLETED,0.51,Overburden
BLAST-30016,MINE-01,MINE-01-ZONE-B,2026-06-18T10:00:00Z,2026-06-18T11:30:00Z,1.5,COMPLETED,0.41,Waste Rock
BLAST-30017,MINE-04,MINE-04-ZONE-D,2026-03-05T10:00:00Z,2026-03-05T10:30:00Z,0.0,COMPLETED,0.67,Manganese Ore
BLAST-30018,MINE-01,MINE-01-ZONE-E,2026-01-14T10:00:00Z,2026-01-14T10:30:00Z,0.0,COMPLETED,0.54,Manganese Ore
BLAST-30019,MINE-02,MINE-02-ZONE-D,2026-06-30T10:00:00Z,2026-06-30T11:30:00Z,1.5,COMPLETED,0.5,Manganese Ore
BLAST-30020,MINE-02,MINE-02-ZONE-A,2026-04-20T10:00:00Z,2026-04-20T10:30:00Z,0.0,COMPLETED,0.71,Waste Rock
BLAST-30021,MINE-04,MINE-04-ZONE-D,2026-03-26T10:00:00Z,2026-03-26T10:30:00Z,0.5,COMPLETED,0.55,Overburden
BLAST-30022,MINE-04,MINE-04-ZONE-C,2026-04-12T10:00:00Z,2026-04-12T10:30:00Z,0.0,COMPLETED,0.55,Manganese Ore
BLAST-30023,MINE-03,MINE-03-ZONE-A,2026-06-06T10:00:00Z,2026-06-06T10:30:00Z,0.0,COMPLETED,0.58,Overburden
BLAST-30024,MINE-01,MINE-01-ZONE-B,2026-06-13T10:00:00Z,2026-06-13T10:30:00Z,0.0,COMPLETED,0.5,Waste Rock
BLAST-30025,MINE-02,MINE-02-ZONE-D,2025-12-02T10:00:00Z,2025-12-02T14:30:00Z,4.5,DELAYED,0.61,Waste Rock
BLAST-30026,MINE-04,MINE-04-ZONE-B,2026-03-20T10:00:00Z,2026-03-20T13:30:00Z,3.0,DELAYED,0.57,Waste Rock
BLAST-30027,MINE-01,MINE-01-ZONE-D,2026-07-19T10:00:00Z,2026-07-19T10:30:00Z,0.0,COMPLETED,0.36,Waste Rock
BLAST-30028,MINE-03,MINE-03-ZONE-C,2026-03-30T10:00:00Z,2026-03-30T11:30:00Z,1.5,COMPLETED,0.6,Manganese Ore
BLAST-30029,MINE-03,MINE-03-ZONE-B,2026-08-27T10:00:00Z,2026-08-27T13:30:00Z,3.0,DELAYED,0.52,Manganese Ore
BLAST-30030,MINE-03,MINE-03-ZONE-E,2026-05-02T10:00:00Z,2026-05-02T14:30:00Z,4.5,DELAYED,0.42,Manganese Ore
BLAST-30031,MINE-03,MINE-03-ZONE-D,2026-06-23T10:00:00Z,2026-06-23T10:30:00Z,0.0,COMPLETED,0.38,Manganese Ore
BLAST-30032,MINE-04,MINE-04-ZONE-A,2026-03-14T10:00:00Z,2026-03-14T10:30:00Z,0.0,COMPLETED,0.71,Manganese Ore
BLAST-30033,MINE-04,MINE-04-ZONE-C,2026-01-04T10:00:00Z,2026-01-04T13:30:00Z,3.0,DELAYED,0.65,Waste Rock
BLAST-30034,MINE-03,MINE-03-ZONE-B,2026-03-13T10:00:00Z,2026-03-13T14:30:00Z,4.5,DELAYED,0.75,Waste Rock
BLAST-30035,MINE-01,MINE-01-ZONE-B,2025-12-12T10:00:00Z,2025-12-12T10:30:00Z,0.0,COMPLETED,0.71,Manganese Ore
BLAST-30036,MINE-01,MINE-01-ZONE-C,2026-05-11T10:00:00Z,2026-05-11T11:30:00Z,1.5,COMPLETED,0.38,Manganese Ore
BLAST-30037,MINE-03,MINE-03-ZONE-D,2025-11-26T10:00:00Z,2025-11-26T13:30:00Z,3.0,DELAYED,0.47,Manganese Ore
BLAST-30038,MINE-01,MINE-01-ZONE-E,2026-04-06T10:00:00Z,2026-04-06T14:30:00Z,4.5,DELAYED,0.65,Overburden
BLAST-30039,MINE-02,MINE-02-ZONE-D,2026-05-11T10:00:00Z,2026-05-11T10:30:00Z,0.0,COMPLETED,0.66,Waste Rock
