hole_id,mine_id,zone_id,latitude,longitude,depth_m,dip_deg,azimuth_deg,mn_assay_pct,drill_date
DH-2001,MINE-02,MINE-02-ZONE-E,21.64486,85.94408,168.0,-60,206.7,38.74,2025-10-01
DH-2002,MINE-04,MINE-04-ZONE-C,21.64636,85.91031,109.7,-90,136.9,40.35,2025-10-02
DH-2003,MINE-04,MINE-04-ZONE-E,21.65263,85.90908,122.2,-75,25.6,33.28,2025-10-04
DH-2004,MINE-01,MINE-01-ZONE-C,21.65633,85.94655,241.3,-75,158.1,23.43,2025-10-05
DH-2005,MINE-02,MINE-02-ZONE-D,21.64533,85.94425,174.2,-75,329.8,35.83,2025-10-07
DH-2006,MINE-04,MINE-04-ZONE-A,21.66325,85.91794,181.0,-75,31.7,28.92,2025-10-08
DH-2007,MINE-02,MINE-02-ZONE-E,21.65058,85.93661,274.1,-90,287.8,32.51,2025-10-10
DH-2008,MINE-01,MINE-01-ZONE-E,21.64716,85.9597,151.3,-90,96.2,42.74,2025-10-11
DH-2009,MINE-03,MINE-03-ZONE-E,21.6221,85.95641,112.5,-75,84.1,44.39,2025-10-13
DH-2010,MINE-04,MINE-04-ZONE-B,21.65105,85.91394,251.6,-60,26.9,43.85,2025-10-14
DH-2011,MINE-02,MINE-02-ZONE-C,21.64824,85.93608,199.4,-60,159.7,39.92,2025-10-16
DH-2012,MINE-03,MINE-03-ZONE-E,21.62018,85.94818,157.2,-75,355.6,43.63,2025-10-17
DH-2013,MINE-04,MINE-04-ZONE-D,21.65928,85.91304,260.3,-90,178.8,42.76,2025-10-19
DH-2014,MINE-03,MINE-03-ZONE-B,21.6125,85.93965,224.4,-60,72.3,39.58,2025-10-20
DH-2015,MINE-01,MINE-01-ZONE-C,21.64854,85.94597,160.1,-90,269.6,40.98,2025-10-22
DH-2016,MINE-01,MINE-01-ZONE-E,21.64477,85.96176,85.5,-60,319.4,23.09,2025-10-23
DH-2017,MINE-04,MINE-04-ZONE-E,21.66182,85.90653,141.5,-75,160.1,31.79,2025-10-25
DH-2018,MINE-03,MINE-03-ZONE-E,21.61552,85.95299,273.6,-60,283.2,24.2,2025-10-26
DH-2019,MINE-04,MINE-04-ZONE-E,21.66088,85.90765,88.6,-75,287.5,22.07,2025-10-28
DH-2020,MINE-01,MINE-01-ZONE-C,21.65618,85.94573,84.0,-90,79.8,33.43,2025-10-29
DH-2021,MINE-04,MINE-04-ZONE-E,21.65684,85.91225,81.8,-90,41.2,34.73,2025-10-31
DH-2022,MINE-01,MINE-01-ZONE-E,21.65026,85.95742,132.5,-60,147.9,35.35,2025-11-01
DH-2023,MINE-04,MINE-04-ZONE-C,21.64959,85.91069,118.8,-60,98.4,22.63,2025-11-03
DH-2024,MINE-04,MINE-04-ZONE-D,21.66033,85.90486,226.0,-60,242.6,36.31,2025-11-04
DH-2025,MINE-02,MINE-02-ZONE-B,21.64821,85.93107,116.2,-75,43.2,29.23,2025-11-06
DH-2026,MINE-03,MINE-03-ZONE-D,21.61935,85.96036,97.8,-90,165.6,28.95,2025-11-07
DH-2027,MINE-01,MINE-01-ZONE-E,21.64613,85.95333,227.0,-60,63.8,28.14,2025-11-09
DH-2028,MINE-02,MINE-02-ZONE-E,21.65224,85.94395,195.3,-90,138.4,23.84,2025-11-10
DH-2029,MINE-02,MINE-02-ZONE-A,21.65228,85.94087,230.4,-90,215.2,30.73,2025-11-12
DH-2030,MINE-03,MINE-03-ZONE-A,21.6308,85.94119,222.5,-90,328.5,41.52,2025-11-13
DH-2031,MINE-01,MINE-01-ZONE-C,21.65628,85.94568,178.7,-90,318.1,29.1,2025-11-15
DH-2032,MINE-01,MINE-01-ZONE-B,21.66146,85.95588,157.7,-75,270.9,31.86,2025-11-16
DH-2033,MINE-04,MINE-04-ZONE-E,21.6548,85.91261,252.3,-90,336.3,25.32,2025-11-18
DH-2034,MINE-03,MINE-03-ZONE-A,21.62548,85.93577,242.5,-90,299.2,40.99,2025-11-19
DH-2035,MINE-04,MINE-04-ZONE-D,21.65294,85.90759,195.3,-60,205.4,27.81,2025-11-21
DH-2036,MINE-03,MINE-03-ZONE-C,21.62524,85.93946,233.5,-75,86.8,45.54,2025-11-22
DH-2037,MINE-02,MINE-02-ZONE-E,21.65349,85.94083,115.7,-90,68.8,34.37,2025-11-24
DH-2038,MINE-01,MINE-01-ZONE-C,21.64919,85.94662,240.9,-90,105.8,39.45,2025-11-25
DH-2039,MINE-03,MINE-03-ZONE-D,21.6251,85.96018,76.5,-90,146.2,28.59,2025-11-27
DH-2040,MINE-02,MINE-02-ZONE-D,21.63883,85.94986,169.8,-75,328.9,27.99,2025-11-28
DH-2041,MINE-03,MINE-03-ZONE-E,21.62151,85.95628,277.0,-90,125.1,45.93,2025-11-30
DH-2042,MINE-01,MINE-01-ZONE-E,21.64934,85.95541,185.9,-75,289.3,27.68,2025-12-01
DH-2043,MINE-04,MINE-04-ZONE-B,21.65145,85.91374,93.7,-60,58.3,43.86,2025-12-03
DH-2044,MINE-01,MINE-01-ZONE-A,21.66229,85.94821,118.2,-60,276.1,23.95,2025-12-04
DH-2045,MINE-01,MINE-01-ZONE-E,21.65158,85.95914,249.4,-75,47.1,29.5,2025-12-06
DH-2046,MINE-02,MINE-02-ZONE-B,21.65108,85.93485,169.7,-75,179.1,40.31,2025-12-07
DH-2047,MINE-04,MINE-04-ZONE-C,21.64137,85.90374,118.2,-75,275.0,22.2,2025-12-09
DH-2048,MINE-04,MINE-04-ZONE-C,21.64785,85.90439,172.0,-90,14.5,44.53,2025-12-10
DH-2049,MINE-02,MINE-02-ZONE-E,21.64867,85.9405,167.8,-90,107.9,36.25,2025-12-12
DH-2050,MINE-04,MINE-04-ZONE-D,21.65871,85.90914,97.5,-90,259.6,35.86,2025-12-13
DH-2051,MINE-01,MINE-01-ZONE-E,21.65001,85.96178,165.2,-75,113.0,34.45,2025-12-15
DH-2052,MINE-02,MINE-02-ZONE-D,21.63995,85.95223,125.5,-75,253.8,35.39,2025-12-16
DH-2053,MINE-02,MINE-02-ZONE-B,21.64881,85.93532,119.8,-60,221.6,41.87,2025-12-18
DH-2054,MINE-01,MINE-01-ZONE-B,21.65559,85.95924,177.7,-90,306.1,43.79,2025-12-19
DH-2055,MINE-02,MINE-02-ZONE-E,21.64369,85.94108,83.6,-75,102.4,43.04,2025-12-21
DH-2056,MINE-01,MINE-01-ZONE-C,21.64935,85.95042,165.0,-60,2.5,31.62,2025-12-22
DH-2057,MINE-02,MINE-02-ZONE-E,21.64999,85.94481,140.9,-60,78.9,38.57,2025-12-24
DH-2058,MINE-04,MINE-04-ZONE-E,21.65312,85.91067,214.8,-60,330.2,42.96,2025-12-25
DH-2059,MINE-01,MINE-01-ZONE-C,21.65285,85.94116,89.0,-75,164.4,43.57,2025-12-27
DH-2060,MINE-04,MINE-04-ZONE-C,21.64965,85.90309,265.4,-60,103.4,45.86,2025-12-28
DH-2061,MINE-04,MINE-04-ZONE-C,21.6489,85.90359,278.4,-75,190.4,25.19,2025-12-30
DH-2062,MINE-01,MINE-01-ZONE-C,21.64874,85.94658,214.7,-60,88.1,24.42,2025-12-31
DH-2063,MINE-04,MINE-04-ZONE-E,21.66048,85.90857,252.8,-90,187.7,40.54,2026-01-02
DH-2064,MINE-03,MINE-03-ZONE-C,21.62808,85.94171,109.6,-90,52.0,26.41,2026-01-03
DH-2065,MINE-04,MINE-04-ZONE-E,21.65303,85.91425,189.3,-90,201.2,22.95,2026-01-05
DH-2066,MINE-02,MINE-02-ZONE-E,21.64894,85.93899,117.5,-90,317.8,31.14,2026-01-06
DH-2067,MINE-03,MINE-03-ZONE-A,21.6298,85.93536,181.1,-90,121.5,27.52,2026-01-08
DH-2068,MINE-01,MINE-01-ZONE-B,21.65882,85.96193,110.9,-90,54.4,40.34,2026-01-09
DH-2069,MINE-04,MINE-04-ZONE-B,21.65626,85.91537,170.5,-90,242.7,39.33,2026-01-11
DH-2070,MINE-04,MINE-04-ZONE-D,21.65847,85.9063,242.2,-60,235.3,27.84,2026-01-12
DH-2071,MINE-01,MINE-01-ZONE-C,21.6512,85.94603,204.8,-60,334.4,38.43,2026-01-14
DH-2072,MINE-01,MINE-01-ZONE-C,21.65814,85.94114,156.2,-60,122.6,34.02,2026-01-15
DH-2073,MINE-03,MINE-03-ZONE-C,21.62377,85.93935,127.8,-75,274.1,29.6,2026-01-17
DH-2074,MINE-03,MINE-03-ZONE-C,21.62684,85.94709,219.5,-90,325.9,22.3,2026-01-18
