equipment_id,type,mine_id,zone_id,capacity_t,availability,utilization,operating_hours,downtime_hours,status
EX-101,Excavator,MINE-01,MINE-01-ZONE-B,45.0,0.8,0.77,554.4,144.0,ATTENTION
HT-102,Haul truck,MINE-04,MINE-04-ZONE-C,60.0,0.76,0.73,525.6,172.8,MAINTENANCE
DR-103,Drill rig,MINE-02,MINE-02-ZONE-B,25.0,0.96,0.66,475.2,28.8,READY
LD-104,Loader,MINE-04,MINE-04-ZONE-B,35.0,0.74,0.71,511.2,187.2,MAINTENANCE
CR-105,Crusher,MINE-02,MINE-02-ZONE-E,120.0,0.94,0.71,511.2,43.2,READY
EX-106,Excavator,MINE-04,MINE-04-ZONE-A,45.0,0.85,0.82,590.4,108.0,READY
HT-107,Haul truck,MINE-03,MINE-03-ZONE-C,60.0,0.95,0.73,525.6,36.0,READY
DR-108,Drill rig,MINE-01,MINE-01-ZONE-B,25.0,0.96,0.81,583.2,28.8,READY
LD-109,Loader,MINE-02,MINE-02-ZONE-D,35.0,0.87,0.65,468.0,93.6,READY
CR-110,Crusher,MINE-03,MINE-03-ZONE-D,120.0,0.9,0.8,576.0,72.0,READY
EX-111,Excavator,MINE-01,MINE-01-ZONE-D,45.0,0.89,0.74,532.8,79.2,READY
HT-112,Haul truck,MINE-04,MINE-04-ZONE-E,60.0,0.87,0.71,511.2,93.6,READY
DR-113,Drill rig,MINE-03,MINE-03-ZONE-E,25.0,0.94,0.8,576.0,43.2,READY
LD-114,Loader,MINE-01,MINE-01-ZONE-E,35.0,0.91,0.85,612.0,64.8,READY
CR-115,Crusher,MINE-04,MINE-04-ZONE-B,120.0,0.94,0.8,576.0,43.2,READY
EX-116,Excavator,MINE-01,MINE-01-ZONE-B,45.0,0.81,0.65,468.0,136.8,ATTENTION
HT-117,Haul truck,MINE-01,MINE-01-ZONE-C,60.0,0.92,0.72,518.4,57.6,READY
DR-118,Drill rig,MINE-01,MINE-01-ZONE-C,25.0,0.8,0.65,468.0,144.0,ATTENTION
LD-119,Loader,MINE-01,MINE-01-ZONE-D,35.0,0.94,0.73,525.6,43.2,READY
CR-120,Crusher,MINE-01,MINE-01-ZONE-E,120.0,0.89,0.7,504.0,79.2,READY
EX-121,Excavator,MINE-03,MINE-03-ZONE-D,45.0,0.73,0.88,633.6,194.4,MAINTENANCE
HT-122,Haul truck,MINE-01,MINE-01-ZONE-B,60.0,0.76,0.9,648.0,172.8,MAINTENANCE
DR-123,Drill rig,MINE-02,MINE-02-ZONE-A,25.0,0.85,0.85,612.0,108.0,READY
LD-124,Loader,MINE-04,MINE-04-ZONE-C,35.0,0.82,0.9,648.0,129.6,ATTENTION
CR-125,Crusher,MINE-04,MINE-04-ZONE-B,120.0,0.95,0.81,583.2,36.0,READY
EX-126,Excavator,MINE-01,MINE-01-ZONE-D,45.0,0.94,0.67,482.4,43.2,READY
HT-127,Haul truck,MINE-03,MINE-03-ZONE-C,60.0,0.93,0.72,518.4,50.4,READY
DR-128,Drill rig,MINE-04,MINE-04-ZONE-E,25.0,0.85,0.69,496.8,108.0,READY
LD-129,Loader,MINE-01,MINE-01-ZONE-B,35.0,0.92,0.8,576.0,57.6,READY
CR-130,Crusher,MINE-03,MINE-03-ZONE-C,120.0,0.87,0.85,612.0,93.6,READY
EX-131,Excavator,MINE-03,MINE-03-ZONE-E,45.0,0.84,0.72,518.4,115.2,ATTENTION
HT-132,Haul truck,MINE-01,MINE-01-ZONE-B,60.0,0.94,0.81,583.2,43.2,READY
DR-133,Drill rig,MINE-02,MINE-02-ZONE-E,25.0,0.74,0.86,619.2,187.2,MAINTENANCE
LD-134,Loader,MINE-01,MINE-01-ZONE-E,35.0,0.78,0.65,468.0,158.4,ATTENTION
CR-135,Crusher,MINE-04,MINE-04-ZONE-A,120.0,0.77,0.77,554.4,165.6,MAINTENANCE
EX-136,Excavator,MINE-02,MINE-02-ZONE-C,45.0,0.89,0.78,561.6,79.2,READY
