log_id,equipment_id,mine_id,zone_id,date,start_time,end_time,downtime_hours,reason,severity
DT-LOG-10001,DR-128,MINE-04,MINE-04-ZONE-E,2025-10-25,2025-10-25T11:00:00Z,2025-10-25T22:00:00Z,13.2,Weather delay,CRITICAL
DT-LOG-10002,LD-124,MINE-04,MINE-04-ZONE-C,2025-12-16,2025-12-16T20:00:00Z,2025-12-16T22:00:00Z,9.8,Electrical glitch,HIGH
DT-LOG-10003,DR-118,MINE-01,MINE-01-ZONE-C,2026-05-12,2026-05-12T16:00:00Z,2026-05-12T22:00:00Z,17.6,Scheduled maintenance,CRITICAL
DT-LOG-10004,DR-128,MINE-04,MINE-04-ZONE-E,2026-01-08,2026-01-08T20:00:00Z,2026-01-08T22:00:00Z,16.2,Scheduled maintenance,CRITICAL
DT-LOG-10005,DR-133,MINE-02,MINE-02-ZONE-E,2025-12-17,2025-12-17T06:00:00Z,2025-12-17T22:00:00Z,11.1,Electrical glitch,HIGH
DT-LOG-10006,EX-121,MINE-03,MINE-03-ZONE-D,2026-06-03,2026-06-03T13:00:00Z,2026-06-03T22:00:00Z,9.1,Operator shortage,HIGH
DT-LOG-10007,CR-135,MINE-04,MINE-04-ZONE-A,2026-01-05,2026-01-05T12:00:00Z,2026-01-05T22:00:00Z,7.6,Mechanical failure,HIGH
DT-LOG-10008,EX-131,MINE-03,MINE-03-ZONE-E,2026-02-27,2026-02-27T07:00:00Z,2026-02-27T22:00:00Z,13.2,Mechanical failure,CRITICAL
DT-LOG-10009,LD-124,MINE-04,MINE-04-ZONE-C,2026-07-18,2026-07-18T10:00:00Z,2026-07-18T22:00:00Z,4.7,Operator shortage,MEDIUM
DT-LOG-10010,CR-135,MINE-04,MINE-04-ZONE-A,2025-11-12,2025-11-12T18:00:00Z,2025-11-12T22:00:00Z,6.4,Electrical glitch,HIGH
DT-LOG-10011,CR-115,MINE-04,MINE-04-ZONE-B,2026-07-09,2026-07-09T09:00:00Z,2026-07-09T22:00:00Z,1.9,Electrical glitch,MEDIUM
DT-LOG-10012,DR-128,MINE-04,MINE-04-ZONE-E,2025-10-04,2025-10-04T14:00:00Z,2025-10-04T22:00:00Z,15.9,Electrical glitch,CRITICAL
DT-LOG-10013,EX-136,MINE-02,MINE-02-ZONE-C,2026-08-10,2026-08-10T16:00:00Z,2026-08-10T22:00:00Z,8.0,Scheduled maintenance,HIGH
DT-LOG-10014,DR-128,MINE-04,MINE-04-ZONE-E,2025-09-28,2025-09-28T12:00:00Z,2025-09-28T22:00:00Z,15.5,Hydraulic leak,CRITICAL
DT-LOG-10015,DR-123,MINE-02,MINE-02-ZONE-A,2026-02-25,2026-02-25T20:00:00Z,2026-02-25T22:00:00Z,12.5,Scheduled maintenance,CRITICAL
DT-LOG-10016,HT-102,MINE-04,MINE-04-ZONE-C,2026-05-27,2026-05-27T07:00:00Z,2026-05-27T22:00:00Z,6.6,Hydraulic leak,HIGH
DT-LOG-10017,EX-106,MINE-04,MINE-04-ZONE-A,2025-10-20,2025-10-20T10:00:00Z,2025-10-20T22:00:00Z,2.5,Hydraulic leak,MEDIUM
DT-LOG-10018,CR-125,MINE-04,MINE-04-ZONE-B,2025-12-14,2025-12-14T12:00:00Z,2025-12-14T22:00:00Z,12.3,Electrical glitch,CRITICAL
DT-LOG-10019,LD-119,MINE-01,MINE-01-ZONE-D,2025-11-13,2025-11-13T20:00:00Z,2025-11-13T22:00:00Z,9.9,Hydraulic leak,HIGH
DT-LOG-10020,DR-118,MINE-01,MINE-01-ZONE-C,2026-03-16,2026-03-16T06:00:00Z,2026-03-16T22:00:00Z,10.9,Weather delay,HIGH
DT-LOG-10021,DR-123,MINE-02,MINE-02-ZONE-A,2026-07-28,2026-07-28T11:00:00Z,2026-07-28T22:00:00Z,11.8,Scheduled maintenance,HIGH
DT-LOG-10022,LD-124,MINE-04,MINE-04-ZONE-C,2026-01-22,2026-01-22T18:00:00Z,2026-01-22T22:00:00Z,6.7,Electrical glitch,HIGH
DT-LOG-10023,EX-116,MINE-01,MINE-01-ZONE-B,2026-05-19,2026-05-19T18:00:00Z,2026-05-19T22:00:00Z,14.1,Operator shortage,CRITICAL
DT-LOG-10024,HT-122,MINE-01,MINE-01-ZONE-B,2025-10-10,2025-10-10T17:00:00Z,2025-10-10T22:00:00Z,15.0,Scheduled maintenance,CRITICAL
DT-LOG-10025,LD-124,MINE-04,MINE-04-ZONE-C,2026-03-05,2026-03-05T09:00:00Z,2026-03-05T22:00:00Z,8.8,Scheduled maintenance,HIGH
DT-LOG-10026,HT-117,MINE-01,MINE-01-ZONE-C,2026-07-04,2026-07-04T18:00:00Z,2026-07-04T22:00:00Z,14.8,Operator shortage,CRITICAL
DT-LOG-10027,DR-123,MINE-02,MINE-02-ZONE-A,2025-12-09,2025-12-09T08:00:00Z,2025-12-09T22:00:00Z,6.6,Hydraulic leak,HIGH
DT-LOG-10028,HT-122,MINE-01,MINE-01-ZONE-B,2026-06-30,2026-06-30T12:00:00Z,2026-06-30T22:00:00Z,15.1,Scheduled maintenance,CRITICAL
DT-LOG-10029,LD-104,MINE-04,MINE-04-ZONE-B,2025-11-02,2025-11-02T18:00:00Z,2025-11-02T22:00:00Z,12.2,Electrical glitch,CRITICAL
DT-LOG-10030,EX-111,MINE-01,MINE-01-ZONE-D,2025-12-10,2025-12-10T15:00:00Z,2025-12-10T22:00:00Z,15.5,Operator shortage,CRITICAL
DT-LOG-10031,HT-112,MINE-04,MINE-04-ZONE-E,2026-08-05,2026-08-05T16:00:00Z,2026-08-05T22:00:00Z,5.7,Scheduled maintenance,MEDIUM
DT-LOG-10032,EX-121,MINE-03,MINE-03-ZONE-D,2025-12-12,2025-12-12T15:00:00Z,2025-12-12T22:00:00Z,4.6,Scheduled maintenance,MEDIUM
DT-LOG-10033,HT-132,MINE-01,MINE-01-ZONE-B,2026-01-29,2026-01-29T15:00:00Z,2026-01-29T22:00:00Z,12.5,Weather delay,CRITICAL
DT-LOG-10034,LD-104,MINE-04,MINE-04-ZONE-B,2025-12-02,2025-12-02T09:00:00Z,2025-12-02T22:00:00Z,2.0,Operator shortage,MEDIUM
DT-LOG-10035,LD-134,MINE-01,MINE-01-ZONE-E,2026-03-13,2026-03-13T13:00:00Z,2026-03-13T22:00:00Z,5.6,Mechanical failure,MEDIUM
DT-LOG-10036,LD-104,MINE-04,MINE-04-ZONE-B,2026-07-04,2026-07-04T07:00:00Z,2026-07-04T22:00:00Z,5.5,Electrical glitch,MEDIUM
DT-LOG-10037,EX-106,MINE-04,MINE-04-ZONE-A,2025-11-25,2025-11-25T12:00:00Z,2025-11-25T22:00:00Z,5.8,Weather delay,MEDIUM
DT-LOG-10038,EX-121,MINE-03,MINE-03-ZONE-D,2026-05-19,2026-05-19T09:00:00Z,2026-05-19T22:00:00Z,16.1,Operator shortage,CRITICAL
DT-LOG-10039,CR-135,MINE-04,MINE-04-ZONE-A,2026-03-14,2026-03-14T09:00:00Z,2026-03-14T22:00:00Z,2.2,Operator shortage,MEDIUM
DT-LOG-10040,EX-131,MINE-03,MINE-03-ZONE-E,2026-04-01,2026-04-01T11:00:00Z,2026-04-01T22:00:00Z,13.0,Hydraulic leak,CRITICAL
DT-LOG-10041,LD-119,MINE-01,MINE-01-ZONE-D,2026-04-22,2026-04-22T08:00:00Z,2026-04-22T22:00:00Z,2.2,Operator shortage,MEDIUM
DT-LOG-10042,DR-128,MINE-04,MINE-04-ZONE-E,2025-12-15,2025-12-15T06:00:00Z,2025-12-15T22:00:00Z,1.4,Weather delay,MEDIUM
DT-LOG-10043,DR-123,MINE-02,MINE-02-ZONE-A,2025-12-02,2025-12-02T18:00:00Z,2025-12-02T22:00:00Z,1.4,Hydraulic leak,MEDIUM
DT-LOG-10044,LD-114,MINE-01,MINE-01-ZONE-E,2026-02-02,2026-02-02T07:00:00Z,2026-02-02T22:00:00Z,16.0,Mechanical failure,CRITICAL
DT-LOG-10045,LD-134,MINE-01,MINE-01-ZONE-E,2026-07-24,2026-07-24T13:00:00Z,2026-07-24T22:00:00Z,9.5,Hydraulic leak,HIGH
DT-LOG-10046,LD-129,MINE-01,MINE-01-ZONE-B,2025-12-03,2025-12-03T16:00:00Z,2025-12-03T22:00:00Z,9.9,Scheduled maintenance,HIGH
DT-LOG-10047,DR-123,MINE-02,MINE-02-ZONE-A,2026-07-26,2026-07-26T09:00:00Z,2026-07-26T22:00:00Z,16.2,Operator shortage,CRITICAL
DT-LOG-10048,LD-114,MINE-01,MINE-01-ZONE-E,2026-09-10,2026-09-10T10:00:00Z,2026-09-10T22:00:00Z,9.6,Mechanical failure,HIGH
DT-LOG-10049,CR-105,MINE-02,MINE-02-ZONE-E,2026-05-25,2026-05-25T20:00:00Z,2026-05-25T22:00:00Z,2.4,Scheduled maintenance,MEDIUM
DT-LOG-10050,LD-104,MINE-04,MINE-04-ZONE-B,2026-01-24,2026-01-24T19:00:00Z,2026-01-24T22:00:00Z,4.4,Operator shortage,MEDIUM
DT-LOG-10051,CR-115,MINE-04,MINE-04-ZONE-B,2025-10-22,2025-10-22T11:00:00Z,2025-10-22T22:00:00Z,9.6,Electrical glitch,HIGH
DT-LOG-10052,LD-119,MINE-01,MINE-01-ZONE-D,2025-11-04,2025-11-04T10:00:00Z,2025-11-04T22:00:00Z,10.0,Hydraulic leak,HIGH
DT-LOG-10053,HT-127,MINE-03,MINE-03-ZONE-C,2026-08-21,2026-08-21T12:00:00Z,2026-08-21T22:00:00Z,14.7,Mechanical failure,CRITICAL
DT-LOG-10054,HT-112,MINE-04,MINE-04-ZONE-E,2026-09-02,2026-09-02T15:00:00Z,2026-09-02T22:00:00Z,1.3,Hydraulic leak,MEDIUM
DT-LOG-10055,EX-106,MINE-04,MINE-04-ZONE-A,2026-01-12,2026-01-12T14:00:00Z,2026-01-12T22:00:00Z,9.0,Weather delay,HIGH
DT-LOG-10056,LD-104,MINE-04,MINE-04-ZONE-B,2025-12-11,2025-12-11T07:00:00Z,2025-12-11T22:00:00Z,12.6,Mechanical failure,CRITICAL
