obs_id,mine_id,zone_id,date,lithology,formation,structure_proximity_m,mn_grade_proxy,elevation,slope
GEO-OBS-1001,MINE-04,MINE-04-ZONE-C,2025-10-01,Gneiss,Chikla Member,1133.2,0.291,342.3,10.8
GEO-OBS-1002,MINE-04,MINE-04-ZONE-D,2025-10-04,Chert,Chikla Member,368.0,0.479,402.7,13.6
GEO-OBS-1003,MINE-04,MINE-04-ZONE-B,2025-10-07,Chert,Sausar Group,1145.9,0.434,377.9,10.1
GEO-OBS-1004,MINE-01,MINE-01-ZONE-E,2025-10-10,Manganiferous Quartzite,Tirodi Gneiss,914.8,0.277,434.3,17.0
GEO-OBS-1005,MINE-04,MINE-04-ZONE-E,2025-10-13,Chert,Chikla Member,1458.1,0.434,417.9,18.0
GEO-OBS-1006,MINE-01,MINE-01-ZONE-A,2025-10-16,Gondite,Chikla Member,1164.5,0.262,405.3,15.9
GEO-OBS-1007,MINE-02,MINE-02-ZONE-E,2025-10-19,Chert,Mansi Formation,707.9,0.465,435.9,19.3
GEO-OBS-1008,MINE-02,MINE-02-ZONE-D,2025-10-22,Gneiss,Mansi Formation,786.1,0.185,394.4,14.2
GEO-OBS-1009,MINE-02,MINE-02-ZONE-E,2025-10-25,Gneiss,Mansi Formation,271.6,0.402,435.9,19.3
GEO-OBS-1010,MINE-04,MINE-04-ZONE-C,2025-10-28,Gneiss,Sausar Group,918.5,0.311,342.3,10.8
GEO-OBS-1011,MINE-01,MINE-01-ZONE-D,2025-10-31,Schist,Chikla Member,397.2,0.229,402.5,14.2
GEO-OBS-1012,MINE-04,MINE-04-ZONE-D,2025-11-03,Gondite,Sausar Group,1111.3,0.419,402.7,13.6
GEO-OBS-1013,MINE-04,MINE-04-ZONE-C,2025-11-06,Manganiferous Quartzite,Mansi Formation,1006.6,0.462,342.3,10.8
GEO-OBS-1014,MINE-02,MINE-02-ZONE-A,2025-11-09,Schist,Tirodi Gneiss,1448.3,0.457,407.2,15.6
GEO-OBS-1015,MINE-02,MINE-02-ZONE-B,2025-11-12,Schist,Tirodi Gneiss,1493.0,0.364,373.8,10.4
GEO-OBS-1016,MINE-03,MINE-03-ZONE-E,2025-11-15,Gneiss,Tirodi Gneiss,225.5,0.224,414.9,18.5
GEO-OBS-1017,MINE-03,MINE-03-ZONE-A,2025-11-18,Gondite,Mansi Formation,903.2,0.152,403.8,16.2
GEO-OBS-1018,MINE-01,MINE-01-ZONE-B,2025-11-21,Manganiferous Quartzite,Sausar Group,1362.9,0.434,397.8,10.3
GEO-OBS-1019,MINE-01,MINE-01-ZONE-C,2025-11-24,Gneiss,Mansi Formation,453.8,0.31,342.6,9.0
GEO-OBS-1020,MINE-04,MINE-04-ZONE-C,2025-11-27,Manganiferous Quartzite,Tirodi Gneiss,402.3,0.306,342.3,10.8
GEO-OBS-1021,MINE-03,MINE-03-ZONE-D,2025-11-30,Manganiferous Quartzite,Sausar Group,190.5,0.292,402.4,14.4
GEO-OBS-1022,MINE-03,MINE-03-ZONE-D,2025-12-03,Chert,Tirodi Gneiss,1302.6,0.168,402.4,14.4
GEO-OBS-1023,MINE-01,MINE-01-ZONE-D,2025-12-06,Gondite,Tirodi Gneiss,1105.9,0.414,402.5,14.2
GEO-OBS-1024,MINE-01,MINE-01-ZONE-D,2025-12-09,Manganiferous Quartzite,Mansi Formation,325.8,0.298,402.5,14.2
GEO-OBS-1025,MINE-03,MINE-03-ZONE-D,2025-12-12,Manganiferous Quartzite,Chikla Member,720.8,0.439,402.4,14.4
GEO-OBS-1026,MINE-01,MINE-01-ZONE-C,2025-12-15,Chert,Sausar Group,123.4,0.48,342.6,9.0
GEO-OBS-1027,MINE-01,MINE-01-ZONE-A,2025-12-18,Gondite,Mansi Formation,291.2,0.31,405.3,15.9
GEO-OBS-1028,MINE-02,MINE-02-ZONE-B,2025-12-21,Chert,Sausar Group,288.7,0.151,373.8,10.4
