maint_id,equipment_id,date,maintenance_type,description,cost_inr,status
MNT-20001,LD-104,2025-12-20,OVERHAUL,OVERHAUL service for Loader component wear,50925.93,COMPLETED
MNT-20002,LD-134,2026-07-10,CORRECTIVE,CORRECTIVE service for Loader component wear,96438.11,SCHEDULED
MNT-20003,HT-117,2025-09-28,INSPECTION,INSPECTION service for Haul truck component wear,32922.17,COMPLETED
MNT-20004,EX-101,2026-09-07,INSPECTION,INSPECTION service for Excavator component wear,192648.12,SCHEDULED
MNT-20005,LD-134,2026-03-31,PREVENTIVE,PREVENTIVE service for Loader component wear,54698.72,SCHEDULED
MNT-20006,HT-102,2026-03-17,PREVENTIVE,PREVENTIVE service for Haul truck component wear,212525.38,IN_PROGRESS
MNT-20007,LD-129,2025-11-08,OVERHAUL,OVERHAUL service for Loader component wear,142108.74,COMPLETED
MNT-20008,CR-115,2026-08-23,CORRECTIVE,CORRECTIVE service for Crusher component wear,197407.76,IN_PROGRESS
MNT-20009,EX-106,2026-01-29,INSPECTION,INSPECTION service for Excavator component wear,150104.09,IN_PROGRESS
MNT-20010,DR-123,2026-01-29,PREVENTIVE,PREVENTIVE service for Drill rig component wear,55115.58,SCHEDULED
MNT-20011,EX-111,2026-02-17,CORRECTIVE,CORRECTIVE service for Excavator component wear,51804.32,COMPLETED
MNT-20012,DR-133,2026-08-30,PREVENTIVE,PREVENTIVE service for Drill rig component wear,98786.41,SCHEDULED
MNT-20013,HT-112,2025-10-15,OVERHAUL,OVERHAUL service for Haul truck component wear,47592.55,IN_PROGRESS
MNT-20014,EX-126,2026-06-28,PREVENTIVE,PREVENTIVE service for Excavator component wear,43246.58,COMPLETED
MNT-20015,HT-127,2026-07-28,INSPECTION,INSPECTION service for Haul truck component wear,54067.47,COMPLETED
MNT-20016,EX-121,2025-10-20,INSPECTION,INSPECTION service for Excavator component wear,188117.4,SCHEDULED
MNT-20017,LD-109,2026-02-10,PREVENTIVE,PREVENTIVE service for Loader component wear,69445.7,SCHEDULED
MNT-20018,LD-119,2026-01-21,PREVENTIVE,PREVENTIVE service for Loader component wear,73060.24,SCHEDULED
MNT-20019,EX-111,2026-03-27,PREVENTIVE,PREVENTIVE service for Excavator component wear,189339.24,COMPLETED
MNT-20020,HT-132,2026-01-27,INSPECTION,INSPECTION service for Haul truck component wear,206309.7,COMPLETED
MNT-20021,EX-136,2026-01-16,OVERHAUL,OVERHAUL service for Excavator component wear,84486.64,SCHEDULED
MNT-20022,CR-115,2026-05-25,INSPECTION,INSPECTION service for Crusher component wear,98373.32,COMPLETED
MNT-20023,DR-118,2025-12-09,OVERHAUL,OVERHAUL service for Drill rig component wear,188283.67,COMPLETED
MNT-20024,DR-113,2026-01-14,PREVENTIVE,PREVENTIVE service for Drill rig component wear,137843.16,SCHEDULED
MNT-20025,HT-117,2025-11-09,OVERHAUL,OVERHAUL service for Haul truck component wear,145806.9,SCHEDULED
MNT-20026,EX-116,2025-11-25,PREVENTIVE,PREVENTIVE service for Excavator component wear,136105.45,COMPLETED
MNT-20027,HT-122,2025-10-20,OVERHAUL,OVERHAUL service for Haul truck component wear,235278.15,SCHEDULED
MNT-20028,HT-132,2026-08-25,PREVENTIVE,PREVENTIVE service for Haul truck component wear,93626.28,COMPLETED
MNT-20029,EX-121,2025-11-20,CORRECTIVE,CORRECTIVE service for Excavator component wear,229156.75,IN_PROGRESS
MNT-20030,HT-132,2025-12-17,PREVENTIVE,PREVENTIVE service for Haul truck component wear,28948.16,COMPLETED
MNT-20031,EX-131,2026-01-28,OVERHAUL,OVERHAUL service for Excavator component wear,75431.56,SCHEDULED
MNT-20032,CR-115,2026-07-08,PREVENTIVE,PREVENTIVE service for Crusher component wear,177576.53,IN_PROGRESS
MNT-20033,DR-108,2026-05-27,OVERHAUL,OVERHAUL service for Drill rig component wear,215715.86,COMPLETED
MNT-20034,HT-102,2026-01-01,OVERHAUL,OVERHAUL service for Haul truck component wear,98788.03,SCHEDULED
MNT-20035,DR-133,2026-09-08,OVERHAUL,OVERHAUL service for Drill rig component wear,230108.82,SCHEDULED
MNT-20036,EX-126,2026-03-08,INSPECTION,INSPECTION service for Excavator component wear,192263.34,IN_PROGRESS
MNT-20037,LD-119,2026-02-10,INSPECTION,INSPECTION service for Loader component wear,110142.41,COMPLETED
MNT-20038,LD-129,2025-11-29,CORRECTIVE,CORRECTIVE service for Loader component wear,107533.14,SCHEDULED
MNT-20039,LD-104,2026-02-17,INSPECTION,INSPECTION service for Loader component wear,76879.38,COMPLETED
MNT-20040,EX-101,2026-07-03,PREVENTIVE,PREVENTIVE service for Excavator component wear,142659.33,COMPLETED
MNT-20041,DR-128,2026-06-12,CORRECTIVE,CORRECTIVE service for Drill rig component wear,132751.61,COMPLETED
MNT-20042,DR-123,2025-11-27,OVERHAUL,OVERHAUL service for Drill rig component wear,16115.58,COMPLETED
MNT-20043,EX-116,2026-03-26,PREVENTIVE,PREVENTIVE service for Excavator component wear,109506.14,COMPLETED
MNT-20044,EX-126,2026-07-29,OVERHAUL,OVERHAUL service for Excavator component wear,128540.53,IN_PROGRESS
MNT-20045,LD-124,2025-11-27,INSPECTION,INSPECTION service for Loader component wear,113402.89,IN_PROGRESS
MNT-20046,EX-136,2025-10-17,CORRECTIVE,CORRECTIVE service for Excavator component wear,171613.26,COMPLETED
MNT-20047,DR-128,2025-12-30,INSPECTION,INSPECTION service for Drill rig component wear,125421.89,COMPLETED
MNT-20048,CR-130,2026-03-01,CORRECTIVE,CORRECTIVE service for Crusher component wear,76481.84,SCHEDULED
MNT-20049,EX-136,2025-10-25,CORRECTIVE,CORRECTIVE service for Excavator component wear,94501.21,IN_PROGRESS
MNT-20050,CR-125,2026-02-05,CORRECTIVE,CORRECTIVE service for Crusher component wear,158306.33,SCHEDULED
MNT-20051,CR-115,2026-07-31,CORRECTIVE,CORRECTIVE service for Crusher component wear,17684.65,SCHEDULED
MNT-20052,DR-123,2026-01-22,OVERHAUL,OVERHAUL service for Drill rig component wear,46877.58,SCHEDULED
MNT-20053,EX-126,2025-10-12,OVERHAUL,OVERHAUL service for Excavator component wear,59228.41,SCHEDULED
MNT-20054,EX-136,2026-05-18,CORRECTIVE,CORRECTIVE service for Excavator component wear,83215.74,COMPLETED
MNT-20055,EX-106,2025-11-03,OVERHAUL,OVERHAUL service for Excavator component wear,160559.3,SCHEDULED
MNT-20056,HT-132,2026-02-23,INSPECTION,INSPECTION service for Haul truck component wear,244894.49,IN_PROGRESS
MNT-20057,HT-132,2026-01-02,INSPECTION,INSPECTION service for Haul truck component wear,216210.25,COMPLETED
MNT-20058,DR-118,2026-07-19,PREVENTIVE,PREVENTIVE service for Drill rig component wear,150342.04,IN_PROGRESS
MNT-20059,CR-130,2026-06-21,PREVENTIVE,PREVENTIVE service for Crusher component wear,156741.34,IN_PROGRESS
MNT-20060,CR-125,2026-03-12,INSPECTION,INSPECTION service for Crusher component wear,237264.87,COMPLETED
MNT-20061,CR-125,2025-11-08,PREVENTIVE,PREVENTIVE service for Crusher component wear,170881.04,SCHEDULED
MNT-20062,HT-117,2025-10-01,OVERHAUL,OVERHAUL service for Haul truck component wear,125483.36,IN_PROGRESS
MNT-20063,CR-135,2026-07-15,PREVENTIVE,PREVENTIVE service for Crusher component wear,231790.55,SCHEDULED
MNT-20064,HT-102,2026-02-18,PREVENTIVE,PREVENTIVE service for Haul truck component wear,180853.99,IN_PROGRESS
MNT-20065,EX-121,2026-04-28,OVERHAUL,OVERHAUL service for Excavator component wear,224245.68,COMPLETED
MNT-20066,EX-131,2025-12-12,PREVENTIVE,PREVENTIVE service for Excavator component wear,225993.02,SCHEDULED
MNT-20067,DR-133,2026-05-12,INSPECTION,INSPECTION service for Drill rig component wear,203440.99,SCHEDULED
MNT-20068,DR-128,2026-07-13,PREVENTIVE,PREVENTIVE service for Drill rig component wear,105993.3,SCHEDULED
MNT-20069,CR-130,2025-12-22,CORRECTIVE,CORRECTIVE service for Crusher component wear,111392.33,IN_PROGRESS
MNT-20070,CR-105,2025-11-20,PREVENTIVE,PREVENTIVE service for Crusher component wear,76967.22,IN_PROGRESS
MNT-20071,LD-129,2026-07-02,INSPECTION,INSPECTION service for Loader component wear,120574.64,COMPLETED
MNT-20072,CR-110,2026-04-06,OVERHAUL,OVERHAUL service for Crusher component wear,205165.97,SCHEDULED
MNT-20073,EX-111,2026-06-29,PREVENTIVE,PREVENTIVE service for Excavator component wear,145008.37,COMPLETED
MNT-20074,DR-108,2025-12-15,INSPECTION,INSPECTION service for Drill rig component wear,193162.88,SCHEDULED
MNT-20075,CR-135,2026-06-08,OVERHAUL,OVERHAUL service for Crusher component wear,229272.11,COMPLETED
MNT-20076,HT-117,2026-07-13,PREVENTIVE,PREVENTIVE service for Haul truck component wear,161762.34,IN_PROGRESS
MNT-20077,HT-102,2026-08-13,OVERHAUL,OVERHAUL service for Haul truck component wear,38481.34,SCHEDULED
MNT-20078,DR-123,2026-09-02,OVERHAUL,OVERHAUL service for Drill rig component wear,220781.94,COMPLETED
MNT-20079,CR-130,2026-01-15,PREVENTIVE,PREVENTIVE service for Crusher component wear,180946.96,IN_PROGRESS
MNT-20080,LD-114,2026-05-12,INSPECTION,INSPECTION service for Loader component wear,62752.43,SCHEDULED
MNT-20081,EX-121,2026-03-28,INSPECTION,INSPECTION service for Excavator component wear,243171.56,COMPLETED
MNT-20082,HT-132,2025-11-23,INSPECTION,INSPECTION service for Haul truck component wear,191573.37,IN_PROGRESS
MNT-20083,HT-117,2026-06-28,PREVENTIVE,PREVENTIVE service for Haul truck component wear,78681.09,IN_PROGRESS
MNT-20084,EX-101,2025-09-23,PREVENTIVE,PREVENTIVE service for Excavator component wear,190391.34,IN_PROGRESS
MNT-20085,DR-103,2026-05-06,OVERHAUL,OVERHAUL service for Drill rig component wear,111419.91,COMPLETED
MNT-20086,EX-116,2025-11-22,PREVENTIVE,PREVENTIVE service for Excavator component wear,185747.45,IN_PROGRESS
MNT-20087,DR-103,2026-05-06,INSPECTION,INSPECTION service for Drill rig component wear,52343.12,IN_PROGRESS
MNT-20088,LD-134,2025-12-12,CORRECTIVE,CORRECTIVE service for Loader component wear,187249.47,SCHEDULED
MNT-20089,HT-122,2026-02-24,CORRECTIVE,CORRECTIVE service for Haul truck component wear,121561.25,COMPLETED
