sample_id,hole_id,zone_id,depth_from_m,depth_to_m,mn_pct,fe_pct,sio2_pct,al2o3_pct,p_pct,sample_date
SMP-10001,DH-2001,MINE-02-ZONE-E,0.0,25.0,38.53,8.09,23.45,3.51,0.309,2025-10-01
SMP-10002,DH-2001,MINE-02-ZONE-E,25.0,50.0,34.88,4.78,15.87,5.46,0.256,2025-10-01
SMP-10003,DH-2001,MINE-02-ZONE-E,50.0,75.0,35.26,13.73,23.19,2.51,0.124,2025-10-01
SMP-10004,DH-2002,MINE-04-ZONE-C,0.0,25.0,38.32,11.06,14.86,5.41,0.068,2025-10-02
SMP-10005,DH-2002,MINE-04-ZONE-C,25.0,50.0,44.95,5.19,20.2,5.75,0.129,2025-10-02
SMP-10006,DH-2002,MINE-04-ZONE-C,50.0,75.0,36.16,6.88,16.83,2.94,0.173,2025-10-02
SMP-10007,DH-2003,MINE-04-ZONE-E,0.0,25.0,37.52,13.45,18.0,5.97,0.33,2025-10-04
SMP-10008,DH-2003,MINE-04-ZONE-E,25.0,50.0,32.53,10.53,18.36,7.45,0.298,2025-10-04
SMP-10009,DH-2004,MINE-01-ZONE-C,0.0,25.0,25.32,12.4,23.08,5.0,0.198,2025-10-05
SMP-10010,DH-2004,MINE-01-ZONE-C,25.0,50.0,19.23,4.48,14.91,3.93,0.125,2025-10-05
SMP-10011,DH-2004,MINE-01-ZONE-C,50.0,75.0,19.34,15.54,21.38,5.45,0.335,2025-10-05
SMP-10012,DH-2005,MINE-02-ZONE-D,0.0,25.0,40.8,9.23,21.03,7.81,0.191,2025-10-07
SMP-10013,DH-2005,MINE-02-ZONE-D,25.0,50.0,34.91,7.85,9.67,2.96,0.173,2025-10-07
SMP-10014,DH-2006,MINE-04-ZONE-A,0.0,25.0,27.15,15.64,14.47,5.09,0.346,2025-10-08
SMP-10015,DH-2006,MINE-04-ZONE-A,25.0,50.0,30.5,10.51,14.61,3.13,0.159,2025-10-08
SMP-10016,DH-2006,MINE-04-ZONE-A,50.0,75.0,31.48,11.5,20.16,3.22,0.215,2025-10-08
SMP-10017,DH-2007,MINE-02-ZONE-E,0.0,25.0,29.09,10.61,16.84,2.56,0.348,2025-10-10
SMP-10018,DH-2007,MINE-02-ZONE-E,25.0,50.0,36.64,9.54,9.88,6.99,0.2,2025-10-10
SMP-10019,DH-2007,MINE-02-ZONE-E,50.0,75.0,34.68,10.11,12.37,7.01,0.344,2025-10-10
SMP-10020,DH-2007,MINE-02-ZONE-E,75.0,100.0,29.95,10.62,14.14,7.53,0.202,2025-10-10
SMP-10021,DH-2008,MINE-01-ZONE-E,0.0,25.0,40.57,7.58,17.39,7.99,0.197,2025-10-11
SMP-10022,DH-2008,MINE-01-ZONE-E,25.0,50.0,39.23,10.46,13.52,5.31,0.213,2025-10-11
SMP-10023,DH-2009,MINE-03-ZONE-E,0.0,25.0,39.83,12.94,19.28,6.87,0.166,2025-10-13
SMP-10024,DH-2009,MINE-03-ZONE-E,25.0,50.0,46.03,13.85,23.69,4.97,0.061,2025-10-13
SMP-10025,DH-2009,MINE-03-ZONE-E,50.0,75.0,44.41,11.08,21.92,7.25,0.182,2025-10-13
SMP-10026,DH-2010,MINE-04-ZONE-B,0.0,25.0,42.24,12.31,18.4,7.11,0.306,2025-10-14
SMP-10027,DH-2010,MINE-04-ZONE-B,25.0,50.0,47.44,8.56,13.07,6.31,0.278,2025-10-14
SMP-10028,DH-2010,MINE-04-ZONE-B,50.0,75.0,47.57,4.43,9.09,5.79,0.326,2025-10-14
SMP-10029,DH-2011,MINE-02-ZONE-C,0.0,25.0,37.91,4.35,13.19,2.34,0.158,2025-10-16
SMP-10030,DH-2011,MINE-02-ZONE-C,25.0,50.0,39.23,6.93,14.59,6.09,0.104,2025-10-16
SMP-10031,DH-2011,MINE-02-ZONE-C,50.0,75.0,36.67,11.31,14.12,6.1,0.199,2025-10-16
SMP-10032,DH-2011,MINE-02-ZONE-C,75.0,100.0,40.75,6.79,18.21,4.76,0.25,2025-10-16
SMP-10033,DH-2012,MINE-03-ZONE-E,0.0,25.0,45.02,9.09,12.0,7.07,0.11,2025-10-17
SMP-10034,DH-2012,MINE-03-ZONE-E,25.0,50.0,42.48,9.8,11.8,5.43,0.222,2025-10-17
SMP-10035,DH-2012,MINE-03-ZONE-E,50.0,75.0,48.56,7.54,23.65,5.95,0.132,2025-10-17
SMP-10036,DH-2013,MINE-04-ZONE-D,0.0,25.0,45.52,6.76,20.83,3.31,0.107,2025-10-19
SMP-10037,DH-2013,MINE-04-ZONE-D,25.0,50.0,40.27,13.07,20.28,6.09,0.091,2025-10-19
SMP-10038,DH-2013,MINE-04-ZONE-D,50.0,75.0,38.73,11.53,8.63,6.73,0.06,2025-10-19
SMP-10039,DH-2014,MINE-03-ZONE-B,0.0,25.0,43.34,8.39,16.03,3.64,0.099,2025-10-20
SMP-10040,DH-2014,MINE-03-ZONE-B,25.0,50.0,43.72,15.33,23.48,3.77,0.311,2025-10-20
SMP-10041,DH-2014,MINE-03-ZONE-B,50.0,75.0,42.62,9.62,9.2,6.52,0.118,2025-10-20
SMP-10042,DH-2014,MINE-03-ZONE-B,75.0,100.0,41.34,12.09,14.36,7.07,0.217,2025-10-20
SMP-10043,DH-2015,MINE-01-ZONE-C,0.0,25.0,41.83,13.87,23.04,2.65,0.12,2025-10-22
SMP-10044,DH-2015,MINE-01-ZONE-C,25.0,50.0,36.23,14.61,16.98,7.49,0.116,2025-10-22
SMP-10045,DH-2015,MINE-01-ZONE-C,50.0,75.0,36.61,13.89,22.55,3.81,0.172,2025-10-22
SMP-10046,DH-2016,MINE-01-ZONE-E,0.0,25.0,21.98,8.45,23.19,6.18,0.212,2025-10-23
SMP-10047,DH-2016,MINE-01-ZONE-E,25.0,50.0,23.96,12.72,22.17,5.93,0.3,2025-10-23
SMP-10048,DH-2017,MINE-04-ZONE-E,0.0,25.0,35.34,5.19,18.97,5.27,0.343,2025-10-25
SMP-10049,DH-2017,MINE-04-ZONE-E,25.0,50.0,30.38,8.78,11.04,2.73,0.304,2025-10-25
SMP-10050,DH-2018,MINE-03-ZONE-E,0.0,25.0,29.09,13.44,11.28,6.98,0.216,2025-10-26
SMP-10051,DH-2018,MINE-03-ZONE-E,25.0,50.0,25.06,13.76,11.73,6.65,0.287,2025-10-26
SMP-10052,DH-2019,MINE-04-ZONE-E,0.0,25.0,23.68,4.31,8.24,6.74,0.121,2025-10-28
SMP-10053,DH-2019,MINE-04-ZONE-E,25.0,50.0,20.31,6.09,8.84,6.45,0.208,2025-10-28
SMP-10054,DH-2020,MINE-01-ZONE-C,0.0,25.0,28.86,13.4,21.87,5.13,0.187,2025-10-29
SMP-10055,DH-2020,MINE-01-ZONE-C,25.0,50.0,38.07,4.73,15.66,4.41,0.256,2025-10-29
SMP-10056,DH-2020,MINE-01-ZONE-C,50.0,75.0,33.33,14.92,9.18,2.48,0.232,2025-10-29
SMP-10057,DH-2020,MINE-01-ZONE-C,75.0,100.0,29.09,7.3,18.13,5.29,0.148,2025-10-29
SMP-10058,DH-2021,MINE-04-ZONE-E,0.0,25.0,36.24,13.23,19.53,3.29,0.185,2025-10-31
SMP-10059,DH-2021,MINE-04-ZONE-E,25.0,50.0,32.01,8.07,15.26,4.5,0.079,2025-10-31
SMP-10060,DH-2021,MINE-04-ZONE-E,50.0,75.0,34.0,11.98,13.99,2.92,0.327,2025-10-31
SMP-10061,DH-2021,MINE-04-ZONE-E,75.0,100.0,30.4,13.98,9.49,2.58,0.272,2025-10-31
SMP-10062,DH-2022,MINE-01-ZONE-E,0.0,25.0,39.76,9.08,22.65,2.31,0.136,2025-11-01
SMP-10063,DH-2022,MINE-01-ZONE-E,25.0,50.0,33.47,5.24,16.12,2.93,0.195,2025-11-01
SMP-10064,DH-2022,MINE-01-ZONE-E,50.0,75.0,38.82,8.2,16.9,2.69,0.134,2025-11-01
SMP-10065,DH-2022,MINE-01-ZONE-E,75.0,100.0,32.61,9.15,16.98,6.6,0.237,2025-11-01
SMP-10066,DH-2023,MINE-04-ZONE-C,0.0,25.0,26.85,8.21,10.9,2.86,0.247,2025-11-03
SMP-10067,DH-2023,MINE-04-ZONE-C,25.0,50.0,18.33,12.89,23.55,2.55,0.209,2025-11-03
SMP-10068,DH-2023,MINE-04-ZONE-C,50.0,75.0,21.39,9.44,10.52,3.87,0.147,2025-11-03
SMP-10069,DH-2024,MINE-04-ZONE-D,0.0,25.0,35.74,9.09,17.71,4.49,0.115,2025-11-04
SMP-10070,DH-2024,MINE-04-ZONE-D,25.0,50.0,36.43,8.14,9.77,6.07,0.228,2025-11-04
SMP-10071,DH-2024,MINE-04-ZONE-D,50.0,75.0,36.58,7.7,11.53,7.91,0.066,2025-11-04
SMP-10072,DH-2025,MINE-02-ZONE-B,0.0,25.0,31.7,6.11,14.08,6.22,0.2,2025-11-06
SMP-10073,DH-2025,MINE-02-ZONE-B,25.0,50.0,32.56,13.67,9.15,7.17,0.063,2025-11-06
SMP-10074,DH-2025,MINE-02-ZONE-B,50.0,75.0,24.42,15.05,21.79,5.45,0.222,2025-11-06
SMP-10075,DH-2026,MINE-03-ZONE-D,0.0,25.0,33.15,5.06,21.51,3.46,0.227,2025-11-07
SMP-10076,DH-2026,MINE-03-ZONE-D,25.0,50.0,29.19,8.75,12.96,4.04,0.15,2025-11-07
SMP-10077,DH-2026,MINE-03-ZONE-D,50.0,75.0,25.63,10.13,9.82,5.06,0.322,2025-11-07
SMP-10078,DH-2026,MINE-03-ZONE-D,75.0,100.0,27.44,12.73,21.1,6.89,0.121,2025-11-07
SMP-10079,DH-2027,MINE-01-ZONE-E,0.0,25.0,28.08,13.05,20.16,4.69,0.327,2025-11-09
SMP-10080,DH-2027,MINE-01-ZONE-E,25.0,50.0,28.78,11.62,17.99,7.19,0.238,2025-11-09
SMP-10081,DH-2027,MINE-01-ZONE-E,50.0,75.0,24.65,4.82,15.08,3.82,0.132,2025-11-09
SMP-10082,DH-2027,MINE-01-ZONE-E,75.0,100.0,23.7,10.09,12.97,4.71,0.067,2025-11-09
SMP-10083,DH-2028,MINE-02-ZONE-E,0.0,25.0,24.38,13.5,22.33,4.7,0.293,2025-11-10
SMP-10084,DH-2028,MINE-02-ZONE-E,25.0,50.0,25.36,7.86,15.61,2.91,0.069,2025-11-10
SMP-10085,DH-2028,MINE-02-ZONE-E,50.0,75.0,19.88,14.79,13.5,6.29,0.201,2025-11-10
SMP-10086,DH-2028,MINE-02-ZONE-E,75.0,100.0,20.57,6.97,15.0,4.64,0.207,2025-11-10
SMP-10087,DH-2029,MINE-02-ZONE-A,0.0,25.0,32.2,4.79,9.51,6.07,0.135,2025-11-12
SMP-10088,DH-2029,MINE-02-ZONE-A,25.0,50.0,32.97,11.88,22.5,7.24,0.15,2025-11-12
SMP-10089,DH-2029,MINE-02-ZONE-A,50.0,75.0,31.56,5.7,13.6,7.81,0.26,2025-11-12
SMP-10090,DH-2029,MINE-02-ZONE-A,75.0,100.0,29.65,11.14,23.01,3.86,0.163,2025-11-12
SMP-10091,DH-2030,MINE-03-ZONE-A,0.0,25.0,42.98,9.08,13.79,4.18,0.104,2025-11-13
SMP-10092,DH-2030,MINE-03-ZONE-A,25.0,50.0,38.66,15.37,15.78,3.36,0.091,2025-11-13
SMP-10093,DH-2031,MINE-01-ZONE-C,0.0,25.0,30.72,14.52,17.89,5.58,0.096,2025-11-15
SMP-10094,DH-2031,MINE-01-ZONE-C,25.0,50.0,25.91,12.31,18.0,7.42,0.266,2025-11-15
SMP-10095,DH-2032,MINE-01-ZONE-B,0.0,25.0,29.2,6.87,23.45,6.71,0.321,2025-11-16
SMP-10096,DH-2032,MINE-01-ZONE-B,25.0,50.0,28.8,12.14,17.13,4.64,0.281,2025-11-16
SMP-10097,DH-2032,MINE-01-ZONE-B,50.0,75.0,34.64,10.03,14.7,2.97,0.11,2025-11-16
SMP-10098,DH-2033,MINE-04-ZONE-E,0.0,25.0,28.78,14.21,12.56,6.58,0.132,2025-11-18
SMP-10099,DH-2033,MINE-04-ZONE-E,25.0,50.0,29.37,5.77,15.0,7.68,0.117,2025-11-18
SMP-10100,DH-2033,MINE-04-ZONE-E,50.0,75.0,24.83,8.2,8.43,2.32,0.201,2025-11-18
SMP-10101,DH-2033,MINE-04-ZONE-E,75.0,100.0,22.68,15.93,14.0,2.17,0.329,2025-11-18
SMP-10102,DH-2034,MINE-03-ZONE-A,0.0,25.0,40.68,11.38,22.49,2.11,0.115,2025-11-19
SMP-10103,DH-2034,MINE-03-ZONE-A,25.0,50.0,37.49,15.28,17.74,4.54,0.283,2025-11-19
SMP-10104,DH-2034,MINE-03-ZONE-A,50.0,75.0,38.37,5.46,11.82,5.83,0.237,2025-11-19
SMP-10105,DH-2034,MINE-03-ZONE-A,75.0,100.0,36.62,14.04,16.0,5.22,0.24,2025-11-19
SMP-10106,DH-2035,MINE-04-ZONE-D,0.0,25.0,29.45,5.03,23.59,2.41,0.208,2025-11-21
SMP-10107,DH-2035,MINE-04-ZONE-D,25.0,50.0,27.88,15.86,16.87,4.34,0.191,2025-11-21
SMP-10108,DH-2036,MINE-03-ZONE-C,0.0,25.0,46.82,13.26,19.76,4.0,0.063,2025-11-22
SMP-10109,DH-2036,MINE-03-ZONE-C,25.0,50.0,46.0,13.76,10.8,6.67,0.189,2025-11-22
SMP-10110,DH-2036,MINE-03-ZONE-C,50.0,75.0,47.49,11.58,20.98,2.38,0.283,2025-11-22
SMP-10111,DH-2036,MINE-03-ZONE-C,75.0,100.0,45.12,7.52,8.7,3.2,0.063,2025-11-22
SMP-10112,DH-2037,MINE-02-ZONE-E,0.0,25.0,37.99,4.57,18.49,3.64,0.29,2025-11-24
SMP-10113,DH-2037,MINE-02-ZONE-E,25.0,50.0,33.74,8.8,15.04,7.74,0.152,2025-11-24
SMP-10114,DH-2037,MINE-02-ZONE-E,50.0,75.0,31.24,12.3,13.88,6.78,0.13,2025-11-24
SMP-10115,DH-2038,MINE-01-ZONE-C,0.0,25.0,35.25,11.93,12.9,5.62,0.178,2025-11-25
SMP-10116,DH-2038,MINE-01-ZONE-C,25.0,50.0,41.35,8.22,8.68,7.22,0.156,2025-11-25
SMP-10117,DH-2039,MINE-03-ZONE-D,0.0,25.0,31.6,12.15,23.24,2.86,0.232,2025-11-27
SMP-10118,DH-2039,MINE-03-ZONE-D,25.0,50.0,31.4,4.42,9.08,6.67,0.16,2025-11-27
SMP-10119,DH-2039,MINE-03-ZONE-D,50.0,75.0,27.42,10.81,17.68,6.07,0.335,2025-11-27
SMP-10120,DH-2039,MINE-03-ZONE-D,75.0,100.0,27.31,13.16,17.18,5.18,0.169,2025-11-27
SMP-10121,DH-2040,MINE-02-ZONE-D,0.0,25.0,25.61,7.12,15.14,7.98,0.136,2025-11-28
SMP-10122,DH-2040,MINE-02-ZONE-D,25.0,50.0,32.15,9.89,9.96,7.12,0.186,2025-11-28
SMP-10123,DH-2041,MINE-03-ZONE-E,0.0,25.0,46.43,7.48,12.8,2.95,0.263,2025-11-30
SMP-10124,DH-2041,MINE-03-ZONE-E,25.0,50.0,47.93,6.09,13.78,3.35,0.346,2025-11-30
SMP-10125,DH-2042,MINE-01-ZONE-E,0.0,25.0,23.98,14.61,9.05,4.39,0.265,2025-12-01
SMP-10126,DH-2042,MINE-01-ZONE-E,25.0,50.0,27.47,8.93,14.55,5.45,0.088,2025-12-01
SMP-10127,DH-2042,MINE-01-ZONE-E,50.0,75.0,25.85,4.89,15.45,5.1,0.089,2025-12-01
SMP-10128,DH-2042,MINE-01-ZONE-E,75.0,100.0,30.97,10.62,17.4,6.61,0.089,2025-12-01
SMP-10129,DH-2043,MINE-04-ZONE-B,0.0,25.0,41.11,15.37,16.3,3.7,0.074,2025-12-03
SMP-10130,DH-2043,MINE-04-ZONE-B,25.0,50.0,40.82,15.48,12.39,5.75,0.234,2025-12-03
SMP-10131,DH-2043,MINE-04-ZONE-B,50.0,75.0,39.79,11.69,17.47,5.48,0.101,2025-12-03
SMP-10132,DH-2043,MINE-04-ZONE-B,75.0,100.0,45.1,14.82,13.4,7.54,0.062,2025-12-03
SMP-10133,DH-2044,MINE-01-ZONE-A,0.0,25.0,25.13,4.36,22.22,5.27,0.243,2025-12-04
SMP-10134,DH-2044,MINE-01-ZONE-A,25.0,50.0,21.97,6.94,20.92,4.44,0.186,2025-12-04
SMP-10135,DH-2044,MINE-01-ZONE-A,50.0,75.0,25.84,5.9,14.65,4.79,0.152,2025-12-04
SMP-10136,DH-2045,MINE-01-ZONE-E,0.0,25.0,29.65,5.27,11.87,2.74,0.185,2025-12-06
SMP-10137,DH-2045,MINE-01-ZONE-E,25.0,50.0,25.91,4.61,23.13,7.18,0.175,2025-12-06
SMP-10138,DH-2045,MINE-01-ZONE-E,50.0,75.0,34.13,14.83,21.02,7.6,0.266,2025-12-06
SMP-10139,DH-2046,MINE-02-ZONE-B,0.0,25.0,44.76,10.07,23.47,3.29,0.156,2025-12-07
SMP-10140,DH-2046,MINE-02-ZONE-B,25.0,50.0,35.82,9.94,22.12,5.93,0.191,2025-12-07
SMP-10141,DH-2047,MINE-04-ZONE-C,0.0,25.0,17.65,4.61,16.99,4.18,0.137,2025-12-09
SMP-10142,DH-2047,MINE-04-ZONE-C,25.0,50.0,21.06,9.4,16.8,6.95,0.237,2025-12-09
SMP-10143,DH-2047,MINE-04-ZONE-C,50.0,75.0,23.31,5.54,9.55,4.24,0.346,2025-12-09
SMP-10144,DH-2048,MINE-04-ZONE-C,0.0,25.0,40.9,8.0,15.58,4.74,0.232,2025-12-10
SMP-10145,DH-2048,MINE-04-ZONE-C,25.0,50.0,44.69,7.94,17.81,2.98,0.347,2025-12-10
SMP-10146,DH-2049,MINE-02-ZONE-E,0.0,25.0,34.93,12.09,23.68,5.5,0.289,2025-12-12
SMP-10147,DH-2049,MINE-02-ZONE-E,25.0,50.0,38.5,12.26,8.43,4.85,0.34,2025-12-12
SMP-10148,DH-2050,MINE-04-ZONE-D,0.0,25.0,32.34,12.17,8.51,7.69,0.083,2025-12-13
SMP-10149,DH-2050,MINE-04-ZONE-D,25.0,50.0,31.05,7.76,10.42,6.14,0.173,2025-12-13
SMP-10150,DH-2050,MINE-04-ZONE-D,50.0,75.0,38.61,15.05,21.97,6.42,0.069,2025-12-13
SMP-10151,DH-2051,MINE-01-ZONE-E,0.0,25.0,34.05,10.4,16.74,6.06,0.31,2025-12-15
SMP-10152,DH-2051,MINE-01-ZONE-E,25.0,50.0,36.26,13.64,12.23,4.91,0.337,2025-12-15
SMP-10153,DH-2052,MINE-02-ZONE-D,0.0,25.0,37.44,7.8,13.58,7.6,0.289,2025-12-16
SMP-10154,DH-2052,MINE-02-ZONE-D,25.0,50.0,33.12,5.46,18.83,4.28,0.344,2025-12-16
SMP-10155,DH-2052,MINE-02-ZONE-D,50.0,75.0,38.57,15.46,20.87,3.74,0.136,2025-12-16
SMP-10156,DH-2052,MINE-02-ZONE-D,75.0,100.0,37.53,8.16,15.08,3.54,0.194,2025-12-16
SMP-10157,DH-2053,MINE-02-ZONE-B,0.0,25.0,39.26,4.61,22.48,3.35,0.12,2025-12-18
SMP-10158,DH-2053,MINE-02-ZONE-B,25.0,50.0,37.87,7.96,15.56,6.09,0.091,2025-12-18
SMP-10159,DH-2053,MINE-02-ZONE-B,50.0,75.0,46.52,15.73,10.53,5.92,0.314,2025-12-18
SMP-10160,DH-2053,MINE-02-ZONE-B,75.0,100.0,41.63,11.81,20.09,3.72,0.136,2025-12-18
SMP-10161,DH-2054,MINE-01-ZONE-B,0.0,25.0,47.92,6.1,22.12,3.05,0.326,2025-12-19
SMP-10162,DH-2054,MINE-01-ZONE-B,25.0,50.0,48.76,8.76,15.93,7.62,0.339,2025-12-19
SMP-10163,DH-2055,MINE-02-ZONE-E,0.0,25.0,43.47,9.93,23.02,7.11,0.19,2025-12-21
SMP-10164,DH-2055,MINE-02-ZONE-E,25.0,50.0,39.97,5.35,10.6,4.75,0.127,2025-12-21
SMP-10165,DH-2055,MINE-02-ZONE-E,50.0,75.0,39.9,12.84,20.65,5.41,0.277,2025-12-21
