production_id,date,mine_id,zone_id,planned_tonnes,actual_tonnes,ore_grade_pct,operating_hours,downtime_hours,rainfall_mm,target_tonnes
PROD-10001,2025-09-21,MINE-01,MINE-01-ZONE-A,240.0,199.0,36.58,12.8,3.2,3.7,260.0
PROD-10002,2025-09-21,MINE-01,MINE-01-ZONE-B,240.0,212.2,34.2,13.6,2.4,3.7,260.0
PROD-10003,2025-09-21,MINE-01,MINE-01-ZONE-C,240.0,202.4,37.16,14.3,1.7,3.7,260.0
PROD-10004,2025-09-21,MINE-01,MINE-01-ZONE-D,240.0,202.8,35.13,14.5,1.5,3.7,260.0
PROD-10005,2025-09-21,MINE-01,MINE-01-ZONE-E,240.0,213.6,39.77,14.7,1.3,3.7,260.0
PROD-10006,2025-09-21,MINE-02,MINE-02-ZONE-A,240.0,150.9,33.13,12.7,3.3,66.8,260.0
PROD-10007,2025-09-21,MINE-02,MINE-02-ZONE-B,240.0,155.3,32.73,12.0,4.0,66.8,260.0
PROD-10008,2025-09-21,MINE-02,MINE-02-ZONE-C,240.0,135.0,33.15,10.8,5.2,66.8,260.0
PROD-10009,2025-09-21,MINE-02,MINE-02-ZONE-D,240.0,170.5,32.15,13.0,3.0,66.8,260.0
PROD-10010,2025-09-21,MINE-02,MINE-02-ZONE-E,240.0,134.5,41.6,11.7,4.3,66.8,260.0
PROD-10011,2025-09-21,MINE-03,MINE-03-ZONE-A,240.0,191.9,32.83,13.2,2.8,4.0,260.0
PROD-10012,2025-09-21,MINE-03,MINE-03-ZONE-B,240.0,223.4,37.98,14.8,1.2,4.0,260.0
PROD-10013,2025-09-21,MINE-03,MINE-03-ZONE-C,240.0,212.9,33.16,13.4,2.6,4.0,260.0
PROD-10014,2025-09-21,MINE-03,MINE-03-ZONE-D,240.0,179.3,36.49,12.8,3.2,4.0,260.0
PROD-10015,2025-09-21,MINE-03,MINE-03-ZONE-E,240.0,217.6,42.15,14.8,1.2,4.0,260.0
PROD-10016,2025-09-21,MINE-04,MINE-04-ZONE-A,240.0,185.4,41.77,12.4,3.6,1.4,260.0
PROD-10017,2025-09-21,MINE-04,MINE-04-ZONE-B,240.0,208.3,43.22,13.7,2.3,1.4,260.0
PROD-10018,2025-09-21,MINE-04,MINE-04-ZONE-C,240.0,186.6,33.44,11.9,4.1,1.4,260.0
PROD-10019,2025-09-21,MINE-04,MINE-04-ZONE-D,240.0,189.3,33.29,11.8,4.2,1.4,260.0
PROD-10020,2025-09-21,MINE-04,MINE-04-ZONE-E,240.0,193.9,34.01,12.8,3.2,1.4,260.0
PROD-10021,2025-09-22,MINE-01,MINE-01-ZONE-A,244.0,220.7,33.86,15.1,0.9,0.5,260.0
PROD-10022,2025-09-22,MINE-01,MINE-01-ZONE-B,244.0,193.1,37.46,13.0,3.0,0.5,260.0
PROD-10023,2025-09-22,MINE-01,MINE-01-ZONE-C,244.0,206.4,41.41,12.9,3.1,0.5,260.0
PROD-10024,2025-09-22,MINE-01,MINE-01-ZONE-D,244.0,183.2,32.79,11.7,4.3,0.5,260.0
