record_id,date,mine_id,rainfall_mm,temp_c,humidity_pct,soil_moisture_pct,weather_condition
WX-MINE-01-2025-09-21,2025-09-21,MINE-01,3.7,25.1,88.4,0.24,CLEAR
WX-MINE-02-2025-09-21,2025-09-21,MINE-02,66.8,27.9,84.3,0.8,HEAVY RAIN
WX-MINE-03-2025-09-21,2025-09-21,MINE-03,4.0,35.3,79.0,0.26,CLEAR
WX-MINE-04-2025-09-21,2025-09-21,MINE-04,1.4,24.2,61.3,0.17,CLEAR
WX-MINE-01-2025-09-22,2025-09-22,MINE-01,0.5,22.5,69.0,0.18,CLEAR
WX-MINE-02-2025-09-22,2025-09-22,MINE-02,41.1,34.2,45.7,0.55,HEAVY RAIN
WX-MINE-03-2025-09-22,2025-09-22,MINE-03,3.1,25.9,39.6,0.26,CLEAR
WX-MINE-04-2025-09-22,2025-09-22,MINE-04,3.8,41.5,56.7,0.23,CLEAR
WX-MINE-01-2025-09-23,2025-09-23,MINE-01,55.9,23.1,71.7,0.66,HEAVY RAIN
WX-MINE-02-2025-09-23,2025-09-23,MINE-02,1.7,29.7,35.7,0.2,CLEAR
WX-MINE-03-2025-09-23,2025-09-23,MINE-03,50.6,33.2,46.9,0.66,HEAVY RAIN
WX-MINE-04-2025-09-23,2025-09-23,MINE-04,1.7,30.9,44.0,0.24,CLEAR
WX-MINE-01-2025-09-24,2025-09-24,MINE-01,2.9,30.3,81.0,0.23,CLEAR
WX-MINE-02-2025-09-24,2025-09-24,MINE-02,39.3,41.8,63.9,0.51,LIGHT RAIN
WX-MINE-03-2025-09-24,2025-09-24,MINE-03,2.4,29.5,35.4,0.23,CLEAR
WX-MINE-04-2025-09-24,2025-09-24,MINE-04,29.0,31.2,66.2,0.48,LIGHT RAIN
WX-MINE-01-2025-09-25,2025-09-25,MINE-01,81.6,27.8,62.0,0.91,HEAVY RAIN
WX-MINE-02-2025-09-25,2025-09-25,MINE-02,61.8,31.9,75.7,0.69,HEAVY RAIN
WX-MINE-03-2025-09-25,2025-09-25,MINE-03,0.6,28.0,70.2,0.22,CLEAR
WX-MINE-04-2025-09-25,2025-09-25,MINE-04,68.3,27.8,44.9,0.81,HEAVY RAIN
WX-MINE-01-2025-09-26,2025-09-26,MINE-01,17.3,37.3,62.1,0.39,LIGHT RAIN
WX-MINE-02-2025-09-26,2025-09-26,MINE-02,43.9,31.6,59.0,0.54,HEAVY RAIN
WX-MINE-03-2025-09-26,2025-09-26,MINE-03,3.9,38.4,55.5,0.26,CLEAR
WX-MINE-04-2025-09-26,2025-09-26,MINE-04,35.8,33.6,43.0,0.49,LIGHT RAIN
WX-MINE-01-2025-09-27,2025-09-27,MINE-01,1.4,23.1,54.9,0.23,CLEAR
WX-MINE-02-2025-09-27,2025-09-27,MINE-02,0.2,27.8,70.1,0.16,CLEAR
WX-MINE-03-2025-09-27,2025-09-27,MINE-03,65.2,37.3,67.9,0.71,HEAVY RAIN
WX-MINE-04-2025-09-27,2025-09-27,MINE-04,40.3,38.9,79.0,0.51,HEAVY RAIN
WX-MINE-01-2025-09-28,2025-09-28,MINE-01,1.5,32.7,54.3,0.18,CLEAR
WX-MINE-02-2025-09-28,2025-09-28,MINE-02,37.5,37.6,57.7,0.55,LIGHT RAIN
WX-MINE-03-2025-09-28,2025-09-28,MINE-03,32.4,32.1,80.7,0.5,LIGHT RAIN
WX-MINE-04-2025-09-28,2025-09-28,MINE-04,70.2,41.0,81.5,0.81,HEAVY RAIN
WX-MINE-01-2025-09-29,2025-09-29,MINE-01,3.2,30.3,85.4,0.19,CLEAR
WX-MINE-02-2025-09-29,2025-09-29,MINE-02,16.4,29.0,73.0,0.3,LIGHT RAIN
WX-MINE-03-2025-09-29,2025-09-29,MINE-03,94.0,32.5,88.4,0.95,HEAVY RAIN
WX-MINE-04-2025-09-29,2025-09-29,MINE-04,74.6,24.4,42.1,0.84,HEAVY RAIN
WX-MINE-01-2025-09-30,2025-09-30,MINE-01,1.2,26.2,89.0,0.2,CLEAR
WX-MINE-02-2025-09-30,2025-09-30,MINE-02,0.4,22.4,61.6,0.2,CLEAR
WX-MINE-03-2025-09-30,2025-09-30,MINE-03,17.6,35.2,67.6,0.34,LIGHT RAIN
WX-MINE-04-2025-09-30,2025-09-30,MINE-04,0.2,28.0,35.6,0.16,CLEAR
WX-MINE-01-2025-10-01,2025-10-01,MINE-01,0.5,34.0,67.3,0.17,CLEAR
WX-MINE-02-2025-10-01,2025-10-01,MINE-02,2.7,22.6,43.0,0.25,CLEAR
WX-MINE-03-2025-10-01,2025-10-01,MINE-03,1.1,33.6,54.4,0.24,CLEAR
WX-MINE-04-2025-10-01,2025-10-01,MINE-04,3.1,34.3,62.8,0.18,CLEAR
WX-MINE-01-2025-10-02,2025-10-02,MINE-01,3.3,37.3,64.1,0.25,CLEAR
WX-MINE-02-2025-10-02,2025-10-02,MINE-02,3.9,25.4,76.5,0.18,CLEAR
WX-MINE-03-2025-10-02,2025-10-02,MINE-03,2.9,40.5,85.6,0.26,CLEAR
WX-MINE-04-2025-10-02,2025-10-02,MINE-04,1.9,36.0,45.2,0.23,CLEAR
WX-MINE-01-2025-10-03,2025-10-03,MINE-01,0.4,38.7,89.0,0.2,CLEAR
WX-MINE-02-2025-10-03,2025-10-03,MINE-02,2.1,30.2,76.9,0.2,CLEAR
WX-MINE-03-2025-10-03,2025-10-03,MINE-03,1.9,32.4,62.3,0.2,CLEAR
WX-MINE-04-2025-10-03,2025-10-03,MINE-04,1.2,36.4,39.5,0.21,CLEAR
WX-MINE-01-2025-10-04,2025-10-04,MINE-01,1.5,31.1,75.5,0.23,CLEAR
WX-MINE-02-2025-10-04,2025-10-04,MINE-02,3.4,26.5,57.4,0.28,CLEAR
WX-MINE-03-2025-10-04,2025-10-04,MINE-03,1.7,39.1,84.2,0.24,CLEAR
WX-MINE-04-2025-10-04,2025-10-04,MINE-04,3.8,29.3,35.7,0.25,CLEAR
WX-MINE-01-2025-10-05,2025-10-05,MINE-01,2.7,29.9,63.7,0.24,CLEAR
WX-MINE-02-2025-10-05,2025-10-05,MINE-02,0.5,29.9,73.2,0.25,CLEAR
WX-MINE-03-2025-10-05,2025-10-05,MINE-03,3.0,39.8,44.3,0.21,CLEAR
WX-MINE-04-2025-10-05,2025-10-05,MINE-04,0.8,26.0,81.4,0.2,CLEAR
WX-MINE-01-2025-10-06,2025-10-06,MINE-01,0.9,30.5,62.5,0.23,CLEAR
WX-MINE-02-2025-10-06,2025-10-06,MINE-02,3.1,33.9,76.6,0.26,CLEAR
WX-MINE-03-2025-10-06,2025-10-06,MINE-03,3.8,29.1,71.7,0.28,CLEAR
WX-MINE-04-2025-10-06,2025-10-06,MINE-04,4.0,32.2,43.1,0.23,CLEAR
WX-MINE-01-2025-10-07,2025-10-07,MINE-01,0.5,31.8,47.7,0.25,CLEAR
WX-MINE-02-2025-10-07,2025-10-07,MINE-02,0.1,36.8,80.7,0.2,CLEAR
WX-MINE-03-2025-10-07,2025-10-07,MINE-03,0.1,25.6,68.3,0.18,CLEAR
WX-MINE-04-2025-10-07,2025-10-07,MINE-04,1.2,34.5,76.8,0.23,CLEAR
WX-MINE-01-2025-10-08,2025-10-08,MINE-01,2.1,31.8,60.6,0.2,CLEAR
WX-MINE-02-2025-10-08,2025-10-08,MINE-02,2.0,32.1,64.8,0.25,CLEAR
WX-MINE-03-2025-10-08,2025-10-08,MINE-03,2.2,22.4,77.0,0.27,CLEAR
WX-MINE-04-2025-10-08,2025-10-08,MINE-04,3.5,24.4,59.8,0.26,CLEAR
WX-MINE-01-2025-10-09,2025-10-09,MINE-01,1.8,22.7,44.7,0.23,CLEAR
WX-MINE-02-2025-10-09,2025-10-09,MINE-02,3.1,39.7,44.0,0.22,CLEAR
WX-MINE-03-2025-10-09,2025-10-09,MINE-03,1.2,29.8,77.0,0.22,CLEAR
WX-MINE-04-2025-10-09,2025-10-09,MINE-04,2.0,33.1,64.7,0.21,CLEAR
WX-MINE-01-2025-10-10,2025-10-10,MINE-01,2.2,25.1,38.1,0.19,CLEAR
WX-MINE-02-2025-10-10,2025-10-10,MINE-02,2.4,29.6,72.2,0.25,CLEAR
WX-MINE-03-2025-10-10,2025-10-10,MINE-03,1.1,23.2,67.5,0.17,CLEAR
WX-MINE-04-2025-10-10,2025-10-10,MINE-04,1.5,38.2,67.1,0.24,CLEAR
WX-MINE-01-2025-10-11,2025-10-11,MINE-01,2.5,29.6,58.5,0.27,CLEAR
WX-MINE-02-2025-10-11,2025-10-11,MINE-02,1.6,23.1,48.4,0.19,CLEAR
WX-MINE-03-2025-10-11,2025-10-11,MINE-03,1.2,23.7,72.8,0.25,CLEAR
WX-MINE-04-2025-10-11,2025-10-11,MINE-04,0.5,25.4,64.6,0.16,CLEAR
WX-MINE-01-2025-10-12,2025-10-12,MINE-01,2.6,30.4,63.3,0.21,CLEAR
WX-MINE-02-2025-10-12,2025-10-12,MINE-02,0.1,31.4,36.2,0.18,CLEAR
WX-MINE-03-2025-10-12,2025-10-12,MINE-03,2.3,28.4,40.4,0.22,CLEAR
WX-MINE-04-2025-10-12,2025-10-12,MINE-04,2.8,26.1,62.3,0.25,CLEAR
