zone_id,mine_id,name,latitude,longitude,elevation_m,slope_deg,area_sqkm,dh_count,mn_assay_avg,depth_avg,geo_count,mn_proxy_avg,structure_prox_avg,ndvi_avg,soil_moisture_avg,spectral_proxy_avg,target_prospectivity
MINE-01-ZONE-A,MINE-01,Dongri Buzurg Prospect - Eastern Ridge,21.6578,85.9455,405.3,15.9,3.2,10,30.698,180.17000000000002,7,0.3112857142857143,600.3285714285714,0.38125,0.45,0.5575,0.565
MINE-01-ZONE-B,MINE-01,Dongri Buzurg Prospect - Central Bench,21.6597,85.9585,397.8,10.3,2.8,8,36.18375,157.025,6,0.2838333333333333,1020.15,0.434,0.418,0.6106666666666667,0.639
MINE-01-ZONE-C,MINE-01,Dongri Buzurg Prospect - South Cut,21.6534,85.9456,342.6,9.0,2.1,18,34.28722222222222,165.05555555555554,7,0.3218571428571429,572.5714285714286,0.39076923076923076,0.42923076923076925,0.5953846153846154,0.634
MINE-01-ZONE-D,MINE-01,Dongri Buzurg Prospect - West Spur,21.6455,85.949,402.5,14.2,2.5,4,32.3825,166.45,7,0.26885714285714285,777.5428571428572,0.39166666666666666,0.44166666666666665,0.6072222222222222,0.57
MINE-01-ZONE-E,MINE-01,Dongri Buzurg Prospect - North Extension,21.6494,85.9568,434.3,17.0,1.9,15,30.103333333333335,165.40666666666667,5,0.2672,734.8,0.343,0.45200000000000007,0.623,0.538
MINE-02-ZONE-A,MINE-02,Mansar Ridge Mine - Eastern Ridge,21.6481,85.942,407.2,15.6,3.2,12,34.42333333333334,173.59166666666667,6,0.3041666666666667,840.8666666666667,0.3561111111111111,0.4161111111111111,0.5555555555555556,0.615
MINE-02-ZONE-B,MINE-02,Mansar Ridge Mine - Central Bench,21.6511,85.9347,373.8,10.4,2.8,11,33.77181818181818,150.4090909090909,4,0.25775,1009.45,0.33999999999999997,0.4295,0.6545,0.593
MINE-02-ZONE-C,MINE-02,Mansar Ridge Mine - South Cut,21.6489,85.9401,360.2,9.9,2.1,9,30.49777777777778,160.34444444444443,3,0.18533333333333335,885.2666666666665,0.30333333333333334,0.43916666666666665,0.6358333333333334,0.489
MINE-02-ZONE-D,MINE-02,Mansar Ridge Mine - West Spur,21.6427,85.9475,394.4,14.2,2.5,12,32.303333333333335,174.25,6,0.31033333333333335,958.0166666666668,0.35461538461538467,0.4507692307692308,0.5584615384615385,0.588
MINE-02-ZONE-E,MINE-02,Mansar Ridge Mine - North Extension,21.6486,85.9404,435.9,19.3,1.9,15,33.83133333333333,178.49333333333334,11,0.3263636363636364,715.5363636363636,0.41647058823529415,0.4435294117647059,0.6276470588235294,0.636
MINE-03-ZONE-A,MINE-03,Bala Hill Exploration Area - Eastern Ridge,21.6291,85.9379,403.8,16.2,3.2,12,32.44833333333333,158.31666666666666,7,0.26785714285714285,676.3000000000001,0.35666666666666663,0.45666666666666667,0.6206666666666667,0.573
MINE-03-ZONE-B,MINE-03,Bala Hill Exploration Area - Central Bench,21.6166,85.9417,374.0,11.1,2.8,5,37.39,205.3,4,0.3335,786.2,0.3860869565217392,0.44173913043478263,0.5534782608695652,0.68
MINE-03-ZONE-C,MINE-03,Bala Hill Exploration Area - South Cut,21.6277,85.9443,347.1,7.8,2.1,15,29.543333333333333,194.64,4,0.37,423.35,0.3506666666666666,0.4233333333333333,0.5213333333333333,0.581
MINE-03-ZONE-D,MINE-03,Bala Hill Exploration Area - West Spur,21.6203,85.9557,402.4,14.4,2.5,10,32.339,164.32,5,0.3516,631.6,0.3438888888888889,0.4288888888888889,0.5566666666666666,0.618
MINE-03-ZONE-E,MINE-03,Bala Hill Exploration Area - North Extension,21.6184,85.9516,414.9,18.5,1.9,14,35.21928571428571,187.96428571428572,6,0.301,616.9333333333333,0.43333333333333335,0.4466666666666667,0.5291666666666667,0.62
MINE-04-ZONE-A,MINE-04,Chikla Spur Mine - Eastern Ridge,21.6588,85.9148,413.7,17.7,3.2,10,36.446999999999996,166.42000000000002,3,0.39033333333333337,871.6666666666666,0.40099999999999997,0.44299999999999995,0.5890000000000001,0.713
MINE-04-ZONE-B,MINE-04,Chikla Spur Mine - Central Bench,21.6559,85.9175,377.9,10.1,2.8,7,38.77285714285714,189.35714285714286,2,0.4435,1002.0500000000001,0.37153846153846154,0.4661538461538462,0.6030769230769231,0.788
MINE-04-ZONE-C,MINE-04,Chikla Spur Mine - South Cut,21.6453,85.9074,342.3,10.8,2.1,19,33.41789473684211,149.52631578947367,12,0.3099166666666667,642.2416666666667,0.38266666666666665,0.4066666666666666,0.6093333333333334,0.615
MINE-04-ZONE-D,MINE-04,Chikla Spur Mine - West Spur,21.6565,85.9083,402.7,13.6,2.5,13,33.816923076923075,188.86153846153846,8,0.3775,841.175,0.4175,0.4375,0.52625,0.652
MINE-04-ZONE-E,MINE-04,Chikla Spur Mine - North Extension,21.6573,85.9112,417.9,18.0,1.9,21,33.824285714285715,146.46666666666667,7,0.3378571428571429,915.8714285714285,0.3721052631578948,0.41,0.5526315789473685,0.629
