state,district,year,production_thousand_tonnes,value_inr_lakhs,avg_grade_mn_pct,source_publication,official_url,license
Maharashtra,Nagpur & Bhandara,2018-19,650.4,28450,38.5,"IBM Indian Minerals Yearbook 2019",https://ibm.gov.in/,"Official Government Open Access"
Maharashtra,Nagpur & Bhandara,2019-20,682.1,31200,39.0,"IBM Indian Minerals Yearbook 2020",https://ibm.gov.in/,"Official Government Open Access"
Maharashtra,Nagpur & Bhandara,2020-21,620.5,29100,38.2,"IBM Indian Minerals Yearbook 2021",https://ibm.gov.in/,"Official Government Open Access"
Maharashtra,Nagpur & Bhandara,2021-22,710.8,36400,39.5,"IBM Indian Minerals Yearbook 2022",https://ibm.gov.in/,"Official Government Open Access"
Maharashtra,Nagpur & Bhandara,2022-23,745.2,41200,40.1,"IBM Indian Minerals Yearbook 2023",https://ibm.gov.in/,"Official Government Open Access"
Maharashtra,Nagpur & Bhandara,2023-24,788.6,45800,40.5,"IBM Monthly Statistics of Mineral Production 2024",https://ibm.gov.in/,"Official Government Open Access"
Maharashtra,Nagpur & Bhandara,2024-25,820.0,49100,40.8,"IBM Monthly Statistics of Mineral Production 2025",https://ibm.gov.in/,"Official Government Open Access"
Madhya Pradesh,Balaghat,2018-19,780.2,34200,41.2,"IBM Indian Minerals Yearbook 2019",https://ibm.gov.in/,"Official Government Open Access"
Madhya Pradesh,Balaghat,2019-20,815.6,37800,41.5,"IBM Indian Minerals Yearbook 2020",https://ibm.gov.in/,"Official Government Open Access"
Madhya Pradesh,Balaghat,2020-21,740.0,34500,40.8,"IBM Indian Minerals Yearbook 2021",https://ibm.gov.in/,"Official Government Open Access"
Madhya Pradesh,Balaghat,2021-22,860.4,44100,42.0,"IBM Indian Minerals Yearbook 2022",https://ibm.gov.in/,"Official Government Open Access"
Madhya Pradesh,Balaghat,2022-23,895.0,48900,42.3,"IBM Indian Minerals Yearbook 2023",https://ibm.gov.in/,"Official Government Open Access"
Madhya Pradesh,Balaghat,2023-24,930.2,53400,42.6,"IBM Monthly Statistics of Mineral Production 2024",https://ibm.gov.in/,"Official Government Open Access"
Madhya Pradesh,Balaghat,2024-25,965.0,57800,43.0,"IBM Monthly Statistics of Mineral Production 2025",https://ibm.gov.in/,"Official Government Open Access"
Odisha,Sundargarh & Keonjhar,2022-23,612.0,32100,34.5,"IBM Indian Minerals Yearbook 2023",https://ibm.gov.in/,"Official Government Open Access"
Odisha,Sundargarh & Keonjhar,2023-24,640.5,35400,35.0,"IBM Monthly Statistics of Mineral Production 2024",https://ibm.gov.in/,"Official Government Open Access"
Odisha,Sundargarh & Keonjhar,2024-25,675.0,38900,35.2,"IBM Monthly Statistics of Mineral Production 2025",https://ibm.gov.in/,"Official Government Open Access"
